"Date","alpha_1perc","alpha_5perc"
"2004-12-28",-1.66199911234621,-1.12566923293935
"2004-12-29",-1.67759290410792,-1.14135267374498
"2004-12-30",-1.64605580454494,-1.10981227981231
"2004-12-31",-1.61435653633104,-1.09396445421076
"2005-01-03",-1.56698651521161,-1.06239596818321
"2005-01-04",-1.74055019503644,-1.18860085284573
"2005-01-05",-1.83519787878316,-1.25169547263991
"2005-01-06",-1.78788699004729,-1.2201548633372
"2005-01-07",-1.77213977486419,-1.22016712247765
"2005-01-10",-1.75629324140665,-1.20435672532796
"2005-01-11",-1.72470216333329,-1.17279102767992
"2005-01-12",-1.70893903638796,-1.17279401117686
"2005-01-13",-1.77206254821671,-1.22012617680549
"2005-01-14",-1.85090309245048,-1.26743099448902
"2005-01-18",-1.83514741682791,-1.25166879530051
"2005-01-19",-1.86668464388727,-1.2832070141842
"2005-01-20",-1.86671590630448,-1.28322390754009
"2005-01-21",-1.86651569661027,-1.2831157196929
"2005-01-24",-1.882267550469,-1.28310733295429
"2005-01-25",-1.83487418982171,-1.2515243504501
"2005-01-26",-1.92928201830718,-1.31448719030759
"2005-01-27",-1.89773320579609,-1.29871196179757
"2005-01-28",-1.83467611390444,-1.25141963515626
"2005-01-31",-2.35506475688777,-1.44067358597935
"2005-02-01",-2.18152715290972,-1.3775537165049
"2005-02-02",-1.92931859236815,-1.33027128681056
"2005-02-03",-1.96091433810309,-1.34607244864638
"2005-02-04",-1.91361901689059,-1.31454220908856
"2005-02-07",-1.89787521651384,-1.29878856151805
"2005-02-08",-1.85048508044554,-1.26720752895179
"2005-02-09",-1.83473743887677,-1.26721652518921
"2005-02-10",-1.80319990205198,-1.23568303409407
"2005-02-11",-1.80321837826424,-1.2356928156182
"2005-02-14",-1.78747042023021,-1.23570174220891
"2005-02-15",-1.75594468169329,-1.20417414643049
"2005-02-16",-1.7243077275732,-1.18835304536787
"2005-02-17",-1.72431708340571,-1.17259444841619
"2005-02-18",-1.73995567937282,-1.18829334474386
"2005-02-22",-1.85030696513116,-1.26711231007304
"2005-02-23",-2.10274659819312,-1.44063307250546
"2005-02-24",-2.11846555211859,-1.47213603114901
"2005-02-25",-2.19744154648584,-1.55104928498218
"2005-02-28",-2.24484146295378,-1.58264217086651
"2005-03-01",-2.19745158645429,-1.5352895055662
"2005-03-02",-2.1186197970181,-1.48799047499667
"2005-03-03",-2.05546681381669,-1.44064119229414
"2005-03-04",-1.94502156007585,-1.33023787475488
"2005-03-07",-2.02375931667753,-1.42477318581154
"2005-03-08",-1.97533533661789,-1.39259219579355
"2005-03-09",-1.91231137386074,-1.3453286986045
"2005-03-10",-2.02210320924094,-1.42381246050302
"2005-03-11",-1.95912796613025,-1.37658054284601
"2005-03-14",-1.92726170574199,-1.3448794515441
"2005-03-15",-1.84842133555379,-1.25036597001076
"2005-03-16",-1.83249208044651,-1.25026501874219
"2005-03-17",-1.86355476670936,-1.25005414368265
"2005-03-18",-1.8162222796736,-1.23425012850984
"2005-03-21",-1.83195968531966,-1.23425447701681
"2005-03-22",-1.80022859551619,-1.21838447262251
"2005-03-23",-1.87827822031297,-1.24954120795883
"2005-03-24",-1.81533955772238,-1.23378883510308
"2005-03-28",-1.76817657529663,-1.18663092894437
"2005-03-29",-1.72096372464361,-1.17088259394323
"2005-03-30",-1.89387512810457,-1.23376312859605
"2005-03-31",-2.2862713883748,-1.39068482696268
"2005-04-01",-1.84624453460788,-1.29636240638365
"2005-04-04",-1.82972093411868,-1.28020114842818
"2005-04-05",-1.79829040319533,-1.24878406862817
"2005-04-06",-1.75117843550417,-1.21737756683296
"2005-04-07",-1.79816275195293,-1.2173177952271
"2005-04-08",-1.89229002037505,-1.23298498480156
"2005-04-11",-1.97063245715457,-1.26430942311923
"2005-04-12",-1.86073847538929,-1.23290646657046
"2005-04-13",-1.70377586478471,-1.18581661463253
"2005-04-14",-1.75057440883025,-1.23274476135771
"2005-04-15",-1.78198081650725,-1.2484490972829
"2005-04-18",-2.20615292908739,-1.54688553786074
"2005-04-19",-2.14336765039408,-1.49979623107571
"2005-04-20",-2.14341704966252,-1.49982506821211
"2005-04-21",-2.20610578081981,-1.54685770888329
"2005-04-22",-2.48912516619759,-1.75120620684372
"2005-04-25",-2.47327802166448,-1.62552254838209
"2005-04-26",-2.44190590356256,-1.57843897568457
"2005-04-27",-2.34747969836934,-1.54691548153414
"2005-04-28",-2.20609212143123,-1.49976089830399
"2005-04-29",-2.34749618044309,-1.54692442472214
"2005-05-02",-2.44168645914992,-1.59401978100983
"2005-05-03",-2.30041885209165,-1.54693286007679
"2005-05-04",-2.15914345168084,-1.48414419094018
"2005-05-05",-2.19059547168979,-1.49987397200379
"2005-05-06",-2.08070831940283,-1.43708131165449
"2005-05-09",-1.98646525117492,-1.37425836927879
"2005-05-10",-1.95504136568342,-1.35854468700601
"2005-05-11",-2.04927850483393,-1.40566629040265
"2005-05-12",-2.04867560818795,-1.43671330579535
"2005-05-13",-2.11157802189071,-1.48386757038841
"2005-05-16",-2.11156556926881,-1.46816764723023
"2005-05-17",-2.08021090825791,-1.45249266461071
"2005-05-18",-2.08014667272654,-1.45245561872225
"2005-05-19",-2.11152432071264,-1.46814392396735
"2005-05-20",-2.04876697961561,-1.43676615305351
"2005-05-23",-2.01727261887849,-1.40531906762715
"2005-05-24",-1.98589346081468,-1.38962970577983
"2005-05-25",-1.93872832033537,-1.34250531469361
"2005-05-26",-1.8916609050987,-1.31112671290573
"2005-05-27",-1.89167171345959,-1.32682291819347
"2005-05-31",-1.86022979980737,-1.29540847411824
"2005-06-01",-1.95437064316468,-1.32678956315392
"2005-06-02",-1.90724477017542,-1.3267576580346
"2005-06-03",-1.97000207307274,-1.3267586886992
"2005-06-06",-1.86016059269456,-1.29537021677017
"2005-06-07",-1.81307798263984,-1.26398379070506
"2005-06-08",-1.76597042535138,-1.23258396223542
"2005-06-09",-1.73459693737609,-1.20120944894879
"2005-06-10",-1.84437113342554,-1.23256436039936
"2005-06-13",-1.67176995535385,-1.16979347759037
"2005-06-14",-1.76588107302001,-1.18547547477828
"2005-06-15",-1.59327906580911,-1.10701721142803
"2005-06-16",-1.59329262323177,-1.10702415026639
"2005-06-17",-1.70307738097807,-1.15407342613008
"2005-06-20",-1.84422262567246,-1.21680322037381
"2005-06-21",-1.7657653239731,-1.18541721183521
"2005-06-22",-1.765783779715,-1.16974116979827
"2005-06-23",-1.54615883739704,-1.07561390528681
"2005-06-24",-2.31501057339784,-1.40513410843096
"2005-06-27",-2.51912703306544,-1.51503209080308
"2005-06-28",-2.23666817369747,-1.42086947479876
"2005-06-29",-2.33092570670062,-1.46799852843585
"2005-06-30",-2.18970929323144,-1.4052350392462
"2005-07-01",-2.06399512385047,-1.35806372834878
"2005-07-05",-1.98557723157781,-1.32669894564189
"2005-07-06",-2.00123163492413,-1.34236891709313
"2005-07-07",-2.15822304604736,-1.38949110703337
"2005-07-08",-2.04806973888027,-1.35793892834503
"2005-07-11",-2.26778258093669,-1.4521120343512
"2005-07-12",-2.12661888785222,-1.40505942949635
"2005-07-13",-1.98532520947241,-1.34225125777669
"2005-07-14",-1.93827427238122,-1.31088352864329
"2005-07-15",-1.89121195479167,-1.31087911000913
"2005-07-18",-1.8127894905282,-1.24814090234853
"2005-07-19",-1.82835137033111,-1.24807598091049
"2005-07-20",-2.07915036663545,-1.34210889549555
"2005-07-21",-1.98491421950532,-1.31067049679178
"2005-07-22",-1.85948677667329,-1.29499773462176
"2005-07-25",-1.82813111826068,-1.2793201676661
"2005-07-26",-1.81246394741818,-1.24796657926381
"2005-07-27",-1.74971519625969,-1.21659120016415
"2005-07-28",-1.74973556011643,-1.23228253859703
"2005-07-29",-1.74976444069785,-1.23229845238679
"2005-08-01",-1.79687679595644,-1.26369891226087
"2005-08-02",-1.7968050361578,-1.23229751685597
"2005-08-03",-1.78111556867353,-1.23229284832751
"2005-08-04",-1.74966589344768,-1.20088525734945
"2005-08-05",-1.781072202533,-1.21658951092906
"2005-08-08",-1.73392505383974,-1.20085265562259
"2005-08-09",-1.70256877251839,-1.16949593130112
"2005-08-10",-1.73396651130987,-1.2008746709688
"2005-08-11",-1.68692912016043,-1.16951639263341
"2005-08-12",-1.78104233939841,-1.23225356639847
"2005-08-15",-1.78096974604424,-1.23221462559259
"2005-08-16",-1.73391542503968,-1.20084754239773
"2005-08-17",-2.00048081548859,-1.34197043750444
"2005-08-18",-1.87496900799278,-1.29488961335473
"2005-08-19",-1.79657600313441,-1.23217626407888
"2005-08-22",-1.73376832551093,-1.20076942747557
"2005-08-23",-1.67104872099919,-1.16940917023351
"2005-08-24",-1.63953276002295,-1.13797188068146
"2005-08-25",-1.7335380093732,-1.1849738602613
"2005-08-26",-1.65511167987982,-1.1535957700779
"2005-08-29",-1.67080663081478,-1.15360747147578
"2005-08-30",-1.74919995336982,-1.16929497864939
"2005-08-31",-1.68646172279264,-1.13792602811216
"2005-09-01",-1.90583279021422,-1.23193976026654
"2005-09-02",-1.8114805445383,-1.20043660274503
"2005-09-06",-1.7018018199019,-1.15343112232577
"2005-09-07",-1.83268343917953,-1.22131220117913
"2005-09-08",-1.73947396045304,-1.16801806334502
"2005-09-09",-1.69911210717217,-1.14106728480282
"2005-09-12",-1.87804980132754,-1.2499257595926
"2005-09-13",-1.75228094874819,-1.19956161765074
"2005-09-14",-1.72492064128556,-1.19777119388177
"2005-09-15",-1.74993149120128,-1.2102493827281
"2005-09-16",-1.6741413271512,-1.15965714326108
"2005-09-19",-1.68603646327255,-1.15913611049206
"2005-09-20",-1.61052956973756,-1.13385459873528
"2005-09-21",-1.63565144339645,-1.13388168854842
"2005-09-22",-1.66004845697307,-1.14587241660321
"2005-09-23",-1.55926233490824,-1.10787437189638
"2005-09-26",-1.52164949552973,-1.07026100978569
"2005-09-27",-1.49650037935487,-1.05766354958254
"2005-09-28",-1.49653847218927,-1.05769471644705
"2005-09-29",-1.48401011674436,-1.04516452645817
"2005-09-30",-1.47120421818836,-1.03240776627054
"2005-10-03",-1.43346837054795,-1.00723157658534
"2005-10-04",-1.42088418703558,-1.00719222855225
"2005-10-05",-1.69699529071923,-1.15787686659538
"2005-10-06",-1.98577393782791,-1.29610574464369
"2005-10-07",-1.8849738530729,-1.25811120487025
"2005-10-10",-1.84703278081832,-1.22024480684752
"2005-10-11",-1.74648969233542,-1.15736584195315
"2005-10-12",-1.70842452000412,-1.13193655627016
"2005-10-13",-1.54546790525328,-1.08177786292804
"2005-10-14",-1.6081812893129,-1.09435189764075
"2005-10-17",-1.70799290411,-1.14412999727166
"2005-10-18",-1.61977444721313,-1.10613522797437
"2005-10-19",-1.91882291455138,-1.25522896203902
"2005-10-20",-2.13191751576757,-1.38061902702165
"2005-10-21",-2.10733999280195,-1.44359077793102
"2005-10-24",-2.50806547321531,-1.58132906859736
"2005-10-25",-2.53386489047595,-1.68208354350287
"2005-10-26",-2.27065498483041,-1.58174872036172
"2005-10-27",-2.2452111114471,-1.55639039354135
"2005-10-28",-2.18274239210671,-1.531461915428
